benefit_citation,benefit_year,benefit_country,benefit_n,benefit_type,benefit_net,benefit_currency,pop,MUST SOLVE,benefit_healthorprod,benefit_healthorprod_details,duration (years),benefit_location,benefit_pollutant,benefit_pollutant_details,benefit_pollutant_old,Intervention 1 pollutant,explaining column to left,discussion: breakdown of benefits,benefit_mortalityincluded (1=yes),benefit_mortality_details,horizon (years),column explaining left ,benefit_elevated,benefit_descriptionofelevatedconcentration,benefit_studytype,benefit_notes,Title,Complete,Time to complete,benefit_model or experiment,benefit_model_inputs_list,benefit_studydetails,n=,benefit_specificlocation,EDI,scope of model,metric,benefit_metric_details,benefit_descriptionofscenarios,,benefit_officerezschool,typeoriginal,benefit_errorbars,breakdown,CNY per person per yar,1units,1intervention,2type,2net,2error,2units,2healthproductivityboth,2intervention,3type,3net,3error,3units,3healthproductivityboth,3intervention,4type,Intervention 4 Net Benefit,name1,amount1 (US million),name2,amount2,name3,amount3,name4,amount4,name5,amount5,name6,amount6,name7,amount7,name8,amount8,Units,"productivity, health, or both",description of intervention,"Intervention 5 approach (filtration, ventilation, source control)",Intervention 5 Net Benefit,Units,"productivity, health, or both",description of intervention,"Intervention 6 approach (filtration, ventilation, source control)",Intervention 6 Net Benefit,Units,"productivity, health, or both",description of intervention,"Intervention 7 approach (filtration, ventilation, source control)",Intervention 7 Net Benefit,Units,"productivity, health, or both",description of intervention,"Intervention 8 approach (filtration, ventilation, source control)",Intervention 8 Net Benefit,Units,"productivity, health, or both",description of intervention,"Intervention 9 approach (filtration, ventilation, source control)",Intervention 9 Net Benefit,Units,"productivity, health, or both",description of intervention,1breakdown,Intervention 1 description,intervention summary,Benefit/cost,benefit_costs_considered,Intervention 1 Cost,Internvention 1 Cost Description,Intervention 1 Productivity Benefit,Intervention 1 Productivity Benefit Description,Intervention 1 Health Benefit,Intervention 1 Health Benefit Description,Intervention 2 description,Intervention 2 pollutant,Intervention 2 Cost,Internvention 2 Cost Description,Intervention 2 Productivity Benefit,Intervention 2 Productivity Benefit Description,Intervention 2 Health Benefit,Intervention 2 Health Benefit Description,Intervention 3 description,Intervention 3 pollutant,Intervention 3 Cost,Internvention 3 Cost Description,Intervention 3 Productivity Benefit,Intervention 3 Productivity Benefit Description,Intervention 3 Health Benefit,Intervention 3 Health Benefit Description,Intervention 4 description,Intervention 4 pollutant,Intervention 4 Cost,Internvention 4 Cost Description,Intervention 4 Productivity Benefit,Intervention 4 Productivity Benefit Description,Intervention 4 Health Benefit,Intervention 4 Health Benefit Description,Intervention 5 description,Intervention 5 pollutant,Intervention 5 Cost,Internvention 5 Cost Description,Intervention 5 Productivity Benefit,Intervention 5 Productivity Benefit Description,Intervention 5 Health Benefit,Intervention 5 Health Benefit Description,Intervention 6 description,Intervention 6 pollutant,Intervention 6 Cost,Internvention 6 Cost Description,Intervention 6 Productivity Benefit,Intervention 6 Productivity Benefit Description,Intervention 6 Health Benefit,Intervention 6 Health Benefit Description,details on intervention,"health impacts/direct impacts (specific health outcomes, asthma, biomarkers, cardiovascular visits to hospital, respiratory visits, allergies)","description/details on health impacts (asthma exacerbation, asthma puffer use, etc.)","non-specific impacts/Indirect (productivity, absenteesim, cognitive function, SBS)",details on non-specific/indirect,Benefit of health results,Net benefit of health Results,costs considered (,Cost amount,Cost details,benefits of avoided productivity losses (standardized language),Net benefit of avoided productivity loss,Net benefits of the intervention (health and productivity combined),interesting notes (just text),discussion,more dicussion,conclusions,,,,
"Beko, 2007",2007,United States,9,filtration ,8,,,,both,"or just health? morality and morbidity, productivity",1,office,PM10,,pm,PM10,,,1,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,,,0,none,model,We have based our calculations on a C–R coefficient of 3.8% increase in mortality rates for each 10 mg/m3 increase of PM10 [39].,"Is the use of particle air filtration justified? Costs and benefits of filtration with regard to health effects, building cleaning and occupant productivity",Y,36,model,,,,USA?,,1000 occupants,VSLY,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.", intervention 1 particle filtration (fibrous bag filters in HVAC system),,office,filtration ,,CHECK TIMELINE,,$/year/occupant,65% of outfoor PM w/o filter and 30% indoor PM reduction with filtration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fibrous bag filters in HVAC system (assume indoor PM10 concentration to be 65% of outdoor conc),,benefit at indoor conc 95% and 80% of outdoor; loss at 65%,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farr’s publicly available
Life Cycle Cost software ",,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farr’s publicly available
Life Cycle Cost software ",$800-$17000 LOSS ,The results indicate that even a small adverse effect of used filters on the occupants’ productivity results in meaningful economic losses. Such losses have the potential to be one to two orders of magnitude higher than the annual running costs of filtration and may substantially exceed its benefits. This is an area that warrants further investigation.,HCL 4-11$ per year per occupant or 37 - 109$ per year occupany benefit VSLY,"We have based our calculations on a C–R
coefficient of 3.8% increase in mortality rates for each
10 mg/m3 increase of PM10 [39]. . Cohort and cross sectional studies have found associations between particle levels measured over a period of a year or more and mortality. We have used results from such studies as the basis for our estimates instead of results from studies that focus on acute particle exposures. Regarding morbidity, health effects were evaluated for the following: respiratory hospital admissions, asthma related emergency room (ER) visits, minor restricted activity days (MRAD) and work loss days (WLD). Other health and welfare benefits were excluded due to the inability to appropriately monetize them and to avoid double counting. To estimate the economic value of reductions in air
pollution-related premature mortality, we have used a
methodology referred to as the ‘‘value of statistical lifeyears’’ or VSLY [37]. In this approach, age-specific life
expectancy and death rates are taken into account together
with the age distribution and size of the exposed population to estimate the average number of years of life lost
(YLL) per death. YLL per death was calculated from the
WHO World Health Report 2002 [5] for the AMR-A subregion, which includes Canada, United States and Cuba.
The YLL attributable to urban air pollution (152,000)
divided by the corresponding mortality (28,000) results in
5.4 YLL per death.",fibrous bag filters in HVAC system (assume indoor PM10 concentration to be 80% of outdoor conc),PM10,,,,,HCL 5-15$ per year per occupant or 40 - 120$ per year occupany benefit VSLY,,fibrous bag filters in HVAC system (assume indoor PM10 concentration to be 95% of outdoor conc),PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"assume 1000 occupants, 10L/s/occupant outdoor supply air, 14.3m2/occupant occupant density, loaded filters --> sensory impacts --> huge losses of productivity, Additional benefits not included: reduced soiling of heat exchangers and ERV units (increases efficiency of HVAC systems and reduces sensory offending emissions)",assumes indoor sources are not present (office buildings); another cobenefit of increased filtration is decreased cleaning costs,loaded filters --> sensory impacts --> huge losses of productivity,,,,Additional benefits not included: reduced soiling of heat exchangers and ERV units (increases efficiency of HVAC systems and reduces sensory offending emissions),Uses Lifecycle Cost software
"Beko, 2007",2007,United States,9,filtration ,16,,,,both,or just health?,1,office,PM10,,pm,,,,1,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,,,0,,,,,,,,,,,,,1000 occupants,VSLY,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.",,,,filtration ,,,,$/year/occupant,65% of outfoor PM w/o filter and 60% indoor PM reduction with filtration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farr’s publicly available
Life Cycle Cost software ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beko, 2007",2007,United States,9,filtration ,23,,,,both,or just health?,1,office,PM10,,pm,,,,1,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,,,0,,,,,,,,,,,,,1000 occupants,VSLY,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.",,,,filtration ,,,,$/year/occupant,65% of outfoor PM w/o filter and 90% indoor PM reduction with filtration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farr’s publicly available
Life Cycle Cost software ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beko, 2007",2007,United States,9,filtration,10,,,,both,or just health?,1,office,PM10,,pm,,,,1,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,,,0,,,,,,,,,,,,,1000 occupants,VSLY,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.",,,,filtration,,,,$/year/occupant,80% of outfoor PM w/o filter and 30% indoor PM reduction with filtration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farr’s publicly available
Life Cycle Cost software ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beko, 2007",2007,United States,9,filtration,19,,,,both,or just health?,1,office,PM10,,pm,,,,1,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,,,0,,,,,,,,,,,,,1000 occupants,VSLY,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.",,,,filtration,,,,$/year/occupant,80% of outfoor PM w/o filter and 60% indoor PM reduction with filtration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farr’s publicly available
Life Cycle Cost software ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beko, 2007",2007,United States,9,filtration,28,,,,both,or just health?,1,office,PM10,,pm,,,,1,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,,,0,,,,,,,,,,,,,1000 occupants,VSLY,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.",,,,filtration,,,,$/year/occupant,80% of outfoor PM w/o filter and 90% indoor PM reduction with filtration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farr’s publicly available
Life Cycle Cost software ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beko, 2007",2007,United States,9,filtration,12,,,,both,or just health?,1,office,PM10,,pm,,,,1,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,,,0,,,,,,,,,,,,,1000 occupants,VSLY,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.",,,,filtration,,,,$/year/occupant,95% of outfoor PM w/o filter and 30% indoor PM reduction with filtration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farr’s publicly available
Life Cycle Cost software ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beko, 2007",2007,United States,9,filtration,23,,,,both,or just health?,1,office,PM10,,pm,,,,1,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,,,0,,,,,,,,,,,,,1000 occupants,VSLY,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.",,,,filtration,,,,$/year/occupant,95% of outfoor PM w/o filter and 60% indoor PM reduction with filtration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farr’s publicly available
Life Cycle Cost software ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beko, 2007",2007,United States,9,filtration,34,,,,both,or just health?,1,office,PM10,,pm,,,,1,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,,,0,,,,,,,,,,,,,1000 occupants,VSLY,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.",,,,filtration,,,,$/year/occupant,95% of outfoor PM w/o filter and 90% indoor PM reduction with filtration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Becchio, 2019",2019,Italy,1,filtration,69.00,,,,both,,1,office,multiple,"The main difference between traditional filter and biocidal one is that the first is ineffective against gaseous substances. Instead, the biocidal air filtration can remove 5% more of airborne particulate matter, 1% of CO2, 5% of NO2 until 20% of SO2. The present research considered that biocidal filter has a filtering capacity, related to pollutants of external origin, from 1% to 20% more than a traditional filter.",pm,PM and airborne bacteria,,,,,,,0,none,model,,"The effects of indoor and outdoor air pollutants on workers’
productivity in office building ",Y,101 minutes,model,,"""Cost of Illness"" (COI) Approach",,Italy,,400m2 office building in Europe with 67 workers,COI,,Two scenarios were designed for an HVAC system in a building: one with the installation of a biocidal filter and the other by a traditional one,,office,filtration,,CHECK TIMELINE,,euro/year,"biocidal filter (medium size) which reduces energy consumption, guarantees health benefits and an increased airflow rate",filtration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4606.25 productivity or 9.09 health for 67 employees,traditional filter (large size) in HVAC system,biocidal filter in HVAC,"benefit of 4,606.25 €/year in productivity; 9.09 €/year in indirect health costs",,,,,,,,"biocidal filter (medium size) which reduces energy consumption, guarantees health benefits and an increased airflow rate","PM, airborne bacteria, and gasses. NO2. the biocidal air filtration can remove
5% more of airborne particulate matter, 1% of CO2, 5%
of NO2 until 20% of SO2. The present research considered
that biocidal filter has a filtering capacity, related to
pollutants of external origin, from 1% to 20% more than
a traditional filter. Because of this assumption, a
traditional filter, in order to achieve the same filtering
effect of a biocidal one, requires an increase in the outdoor
air-flow supply. ",,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S1: traditional filter (large size) in HVAC system, S2: biocidal filter (medium size) which reduces energy consumption, guarantees health benefits and an increased airflow rate",Cost of Ilness (COI),"direct costs: specialist visits, haematological and serological tests, diagnostic control procedures, supportive drug therapies, and hospitalizations (specifically for pneumonia and meningitis)","absenteeism, productivity","Indirect costs: productivity losses due to morbidity and mortality, borne by the individual affected. To calculate indirect costs,
reference was made to the Human Capital Approach
(HCA) [16]. Based on this approach, the loss of
productivity is calculated for the period between the
income of the disease and the return to work activity.
Lastly, intangible costs are associated to psychosocial
effects. To estimate these impacts in a monetary term,
approaches based on revealed preferences techniques are
used. In the present research, we focused only on the
evaluation of direct and indirect costs, overlooking
intangible effects. ",9.09 euro/year indirect costs (listed in table 1 differenlty) - by biocidal filter. Not listed for traditional filter. Weird that direct costs are not mentioned in these types of results.,none,"investment and management
costs of the filters ","Scenario 1: 913 euro (investment, large AHU), 242.4 / 292.8 euro/year (energy), 4 euro/year (disposal), 40 euro/year (replacement); Scenario 2: 150 euro (investment), 156 euro/year (energy), 4 euro/year (disposal), 40 euro/year (replacement)","Direct Costs = Medical treatment cost x Abatement
capacity x Period spent x Morbidity events. Indirect Costs = Daily Salary x Hospitalization days x
Period spent x Morbidity events.  direct costs related to CAP and CAM 73.23 euro/year (building)","Scenario 2: Productivity  4,606.25 €/year (an increase in
productivity of 1% and 20% (Zoe's note: S1 and S2) corresponds to an annual
economic benefit per worker equal to € 27.50 and €
110.00 respectively.)",none,,"To comply with the limits
set by the European Standard EN 15259:2007 [21], a large
traditional filter is required. As shown in the graph in Figure
2, the biocide filter could guarantee a better work
performance thanks to an air flow greater than that
required by the law (traditional filter), that ranging from
1.011 for an air flow of 11.1 l/s, to 1.014 for 13.2 l/s. Total cost of illness (no intervention): Direct costs: 73..23 euro/year (total office building). Indirect costs: 9.21 euro/worker/year (67 workers) or ",,,"The application proposed in this study shows how the
installation of an innovative antibacterial filter allows to
improve the quality of the air through the biocidal
function and the molecular filtration power",,,,
