,benefit_citation,year,benefit_country,benefit_n,benefit_type,benefit_net,benefit_currency,benefit_healthorprod,benefit_healthorprod_details,benefit_location,benefit_pollutant,benefit_pollutant_details,benefit_pollutant_old,benefit_mortalityincluded (1=yes),benefit_mortality_details,benefit_elevated,benefit_descriptionofelevatedconcentration,benefit_studytype,benefit_notes,benefit_model or experiment,benefit_model_inputs_list,benefit_studydetails,benefit_specificlocation,benefit_metric_details,benefit_descriptionofscenarios,benefit_officerezschool,benefit_errorbars,benefit_costs_considered,FACTOR,Country Name,ppp,combinedfactor,netnew
0,"Beko, 2007",2007,United States,9,filtration ,8.0,,both,"or just health? morality and morbidity, productivity",office,PM10,,pm,1.0,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,0.0,none,model,We have based our calculations on a CR coefficient of 3.8% increase in mortality rates for each 10 mg/m3 increase of PM10 [39].,model,,,USA?,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.", intervention 1 particle filtration (fibrous bag filters in HVAC system),office,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farrs publicly available
Life Cycle Cost software ",1.5100678097662457,United States,1.0,1.5100678097662457,12.080542478129965
1,"Beko, 2007",2007,United States,9,filtration ,8.0,,both,"or just health? morality and morbidity, productivity",office,PM10,,pm,1.0,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,0.0,none,model,We have based our calculations on a CR coefficient of 3.8% increase in mortality rates for each 10 mg/m3 increase of PM10 [39].,model,,,USA?,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.", intervention 1 particle filtration (fibrous bag filters in HVAC system),office,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farrs publicly available
Life Cycle Cost software ",1.5100678097662457,United States,1.0,1.5100678097662457,12.080542478129965
2,"Beko, 2007",2007,United States,9,filtration ,8.0,,both,"or just health? morality and morbidity, productivity",office,PM10,,pm,1.0,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,0.0,none,model,We have based our calculations on a CR coefficient of 3.8% increase in mortality rates for each 10 mg/m3 increase of PM10 [39].,model,,,USA?,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.", intervention 1 particle filtration (fibrous bag filters in HVAC system),office,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farrs publicly available
Life Cycle Cost software ",1.5100678097662457,United States,1.0,1.5100678097662457,12.080542478129965
3,"Beko, 2007",2007,United States,9,filtration ,8.0,,both,"or just health? morality and morbidity, productivity",office,PM10,,pm,1.0,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,0.0,none,model,We have based our calculations on a CR coefficient of 3.8% increase in mortality rates for each 10 mg/m3 increase of PM10 [39].,model,,,USA?,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.", intervention 1 particle filtration (fibrous bag filters in HVAC system),office,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farrs publicly available
Life Cycle Cost software ",1.5100678097662457,United States,1.0,1.5100678097662457,12.080542478129965
4,"Beko, 2007",2007,United States,9,filtration ,8.0,,both,"or just health? morality and morbidity, productivity",office,PM10,,pm,1.0,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,0.0,none,model,We have based our calculations on a CR coefficient of 3.8% increase in mortality rates for each 10 mg/m3 increase of PM10 [39].,model,,,USA?,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.", intervention 1 particle filtration (fibrous bag filters in HVAC system),office,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farrs publicly available
Life Cycle Cost software ",1.5100678097662457,United States,1.0,1.5100678097662457,12.080542478129965
5,"Beko, 2007",2007,United States,9,filtration ,8.0,,both,"or just health? morality and morbidity, productivity",office,PM10,,pm,1.0,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,0.0,none,model,We have based our calculations on a CR coefficient of 3.8% increase in mortality rates for each 10 mg/m3 increase of PM10 [39].,model,,,USA?,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.", intervention 1 particle filtration (fibrous bag filters in HVAC system),office,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farrs publicly available
Life Cycle Cost software ",1.5100678097662457,United States,1.0,1.5100678097662457,12.080542478129965
6,"Beko, 2007",2007,United States,9,filtration ,8.0,,both,"or just health? morality and morbidity, productivity",office,PM10,,pm,1.0,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,0.0,none,model,We have based our calculations on a CR coefficient of 3.8% increase in mortality rates for each 10 mg/m3 increase of PM10 [39].,model,,,USA?,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.", intervention 1 particle filtration (fibrous bag filters in HVAC system),office,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farrs publicly available
Life Cycle Cost software ",1.5100678097662457,United States,1.0,1.5100678097662457,12.080542478129965
7,"Beko, 2007",2007,United States,9,filtration ,8.0,,both,"or just health? morality and morbidity, productivity",office,PM10,,pm,1.0,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,0.0,none,model,We have based our calculations on a CR coefficient of 3.8% increase in mortality rates for each 10 mg/m3 increase of PM10 [39].,model,,,USA?,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.", intervention 1 particle filtration (fibrous bag filters in HVAC system),office,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farrs publicly available
Life Cycle Cost software ",1.5100678097662457,United States,1.0,1.5100678097662457,12.080542478129965
8,"Beko, 2007",2007,United States,9,filtration ,8.0,,both,"or just health? morality and morbidity, productivity",office,PM10,,pm,1.0,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,0.0,none,model,We have based our calculations on a CR coefficient of 3.8% increase in mortality rates for each 10 mg/m3 increase of PM10 [39].,model,,,USA?,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.", intervention 1 particle filtration (fibrous bag filters in HVAC system),office,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farrs publicly available
Life Cycle Cost software ",1.5100678097662457,United States,1.0,1.5100678097662457,12.080542478129965
9,"Beko, 2007",2007,United States,9,filtration ,8.0,,both,"or just health? morality and morbidity, productivity",office,PM10,,pm,1.0,The decline of the annual mortality rate in our standard office building resulting from the addition of particle filtration was estimated as decline of mortality = (indoor PM10 decrease)/10 x (C-R function) x (annual average mortality rate per person) x number of occupants,0.0,none,model,We have based our calculations on a CR coefficient of 3.8% increase in mortality rates for each 10 mg/m3 increase of PM10 [39].,model,,,USA?,"YLL per death was calculated from the WHO report 2002 for the AMR-A subregion, which includes CAnada, US, and Cuda.", intervention 1 particle filtration (fibrous bag filters in HVAC system),office,,"The costs associated with a filtration system include the initial purchase of the filters, racks and fans, as well as the annual costs for energy and maintenance. We have not included the cost for filtration housing and the incremental cost of a larger central air unit to handle the increased static pressure due to the presence of filters as well as increased cooling coil capacity to address additional heat from the larger air handler. We have simply focused on the annual running costs and compared them with the annual benefits. The annual running costs associated with fibrous bag filters include their replacement (new filters, labor, disposal of old filters) and power consumption resulting from the energy needed to move air through the filters. Costs were taken from Camfil Farrs publicly available
Life Cycle Cost software ",1.5100678097662457,United States,1.0,1.5100678097662457,12.080542478129965
