,benefit_citation,year,benefit_country,benefit_n,benefit_type,benefit_net,benefit_currency,benefit_healthorprod,benefit_healthorprod_details,benefit_location,benefit_pollutant,benefit_pollutant_details,benefit_pollutant_old,benefit_mortalityincluded (1=yes),benefit_mortality_details,benefit_elevated,benefit_descriptionofelevatedconcentration,benefit_studytype,benefit_notes,benefit_model or experiment,benefit_model_inputs_list,benefit_studydetails,benefit_specificlocation,benefit_metric_details,benefit_descriptionofscenarios,benefit_officerezschool,benefit_errorbars,benefit_costs_considered,FACTOR,Country Name,ppp,combinedfactor,netnew
0,"Aldred et al., 2016",2016,United States,1,filtration,,USD,,,residences,ozone,,ozone,,,,,,,model,,,"single-family homes, 12 different American cities in 5 climate zones",,,,,,1.3041890561143232,United States,1.0,1.3041890561143232,
1,"Aldred et al., 2016",2016,United States,1,filtration,,USD,,,residences,ozone,,ozone,,,,,,,model,,,"single-family homes, 12 different American cities in 5 climate zones",,,,,,1.3041890561143232,United States,1.0,1.3041890561143232,
2,"Aldred et al., 2016",2016,United States,1,filtration,,USD,,,residences,ozone,,ozone,,,,,,,model,,,"single-family homes, 12 different American cities in 5 climate zones",,,,,,1.3041890561143232,United States,1.0,1.3041890561143232,
3,"Aldred et al., 2016",2016,United States,1,filtration,,USD,,,residences,ozone,,ozone,,,,,,,model,,,"single-family homes, 12 different American cities in 5 climate zones",,,,,,1.3041890561143232,United States,1.0,1.3041890561143232,
4,"Aldred et al., 2016",2016,United States,1,filtration,,USD,,,residences,ozone,,ozone,,,,,,,model,,,"single-family homes, 12 different American cities in 5 climate zones",,,,,,1.3041890561143232,United States,1.0,1.3041890561143232,
5,"Aldred et al., 2016",2016,United States,1,filtration,,USD,,,residences,ozone,,ozone,,,,,,,model,,,"single-family homes, 12 different American cities in 5 climate zones",,,,,,1.3041890561143232,United States,1.0,1.3041890561143232,
6,"Aldred et al., 2016",2016,United States,1,filtration,,USD,,,residences,ozone,,ozone,,,,,,,model,,,"single-family homes, 12 different American cities in 5 climate zones",,,,,,1.3041890561143232,United States,1.0,1.3041890561143232,
7,"Aldred et al., 2016",2016,United States,1,filtration,,USD,,,residences,ozone,,ozone,,,,,,,model,,,"single-family homes, 12 different American cities in 5 climate zones",,,,,,1.3041890561143232,United States,1.0,1.3041890561143232,
8,"Aldred et al., 2016",2016,United States,1,filtration,,USD,,,residences,ozone,,ozone,,,,,,,model,,,"single-family homes, 12 different American cities in 5 climate zones",,,,,,1.3041890561143232,United States,1.0,1.3041890561143232,
9,"Aldred et al., 2016",2016,United States,1,filtration,,USD,,,residences,ozone,,ozone,,,,,,,model,,,"single-family homes, 12 different American cities in 5 climate zones",,,,,,1.3041890561143232,United States,1.0,1.3041890561143232,
10,"Aldred et al., 2016",2016,United States,1,filtration,,USD,,,residences,ozone,,ozone,,,,,,,model,,,"single-family homes, 12 different American cities in 5 climate zones",,,,,,1.3041890561143232,United States,1.0,1.3041890561143232,
11,"Aldred et al., 2016",2016,United States,1,filtration,,USD,,,residences,ozone,,ozone,,,,,,,model,,,"single-family homes, 12 different American cities in 5 climate zones",,,,,,1.3041890561143232,United States,1.0,1.3041890561143232,
12,"Asere et al., 2016",2016,Latvia,4,ventilation,180.0,,performance,,combination,multiple,check,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,113.74607446672344
13,"Asere et al., 2016",2016,Latvia,4,ventilation,180.0,,performance,,combination,multiple,check,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,113.74607446672344
14,"Asere et al., 2016",2016,Latvia,4,ventilation,180.0,,performance,,combination,multiple,check,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,113.74607446672344
15,"Asere et al., 2016",2016,Latvia,4,ventilation,180.0,,performance,,combination,multiple,check,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,113.74607446672344
